Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Assign to team),Custom field (Backlog Weight),Custom field (Business Value),Custom field (Due Date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Funding Source),Custom field (Impact),Custom field (Pre-Condition),Custom field (Previous Names),Custom field (Product Line(s)),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Requirements),Custom field (SimV Story Points Deprecated),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (T-Shirt),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment
Error messages not removed from creation dialogs,MMP-569,20674,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,5/27/2015 8:34,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When creating a new record via the dialogs in Index pages, the previous error message is never removed when resubmitting. This was observed in Development Efforts, but should also be tested/fixed in Programs and Roadmaps.",,,,,,,,,,,,,,,03/Jun/15 9:15 AM;DavidTuell;MMP-569.docx;https://jira.dev.simventions.com/secure/attachment/12547/MMP-569.docx,,,,,,,,,,,,,MMP,,,,USMC,2|hzxf1r:,9.22337E+18,,,MMP Sprint 16,,,,2,,,02/Jun/15 2:15 PM;MatthewSerbinski;code was committed to master,,,,
Number of rows selected does not update after deletion from table,MMP-562,20656,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,5/24/2015 10:12,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When deleting records from an index table, the selection information does not update to reflect deleted records. To reproduce:

1) Create two new Program or Development Effort rows
2) Select them in the table, the info should say ""2 rows selected""
3) Click Delete in the actions menu and confirm.
4) The rows successfully delete, but the table still displays ""2 rows selected"" until the user clicks another checkbox. (The Delete action still correctly disables)

Update deletion logic to ensure selection information is updated.",,,,,,,,,,,,,,,03/Jun/15 9:06 AM;DavidTuell;MMP-562.docx;https://jira.dev.simventions.com/secure/attachment/12546/MMP-562.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxf1j:,9.22337E+18,,,MMP Sprint 16,,,,2,,,02/Jun/15 10:56 AM;MatthewSerbinski;code was committed to master,,,,
Handle <br> tags in memo validation and slide generation code,MMP-549,20416,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,5/14/2015 18:06,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,<br> tags should also count as newlines when validating and converting memo field markup.,,,,,,,,,,,,,,,08/Jun/15 11:24 AM;MatthewSerbinski;MMP Code Review Checklist - MMP-549.docx;https://jira.dev.simventions.com/secure/attachment/12566/MMP+Code+Review+Checklist+-+MMP-549.docx,,,"- <br> tags are handled as delimiting a line in memo validation
- <br> tags are handled as a new line in slide generation",,,,,,,,,,MMP,,,,USMC,2|hzxf1b:,9.22337E+18,,,MMP Sprint 16,,,,5,,,,,,,
Use data for Program Schedule modal titles ,MMP-552,20599,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,5/20/2015 16:11,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"While editing roadmaps, the title of the modal for deletion reflects the node's name to remind the user of what they are deleting. Implement this same scheme in the Programs of Record page's Schedule tab for consistency.",,,,,,,,,,,,,,,28/May/15 11:50 AM;DavidTuell;MMP-552.docx;https://jira.dev.simventions.com/secure/attachment/12540/MMP-552.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxezr:,9.22337E+18,,,MMP Sprint 15,,,,2,,,,,,,
Provide capability to save roadmap image,MMP-547,20414,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,5/14/2015 17:53,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"In Chrome, it is possible for the user to right-click in the roadmap editor and click ""Save Image As..."" to save a screenshot of the roadmap they are working on. Implement this same feature in the application so the users are able to use it in any supported browser.",,,,,,,,,,,,,,,26/May/15 10:13 AM;DavidTuell;MMP-547.docx;https://jira.dev.simventions.com/secure/attachment/12535/MMP-547.docx,,,"- Feature exists that saves the image of the currently edited roadmap to the user's machine.
- Button exists to save the image from the thumbnail dialog.",,,,,,,,,,MMP,,,,USMC,2|hzxeyn:,9.22337E+18,,,MMP Sprint 15,,,,3,,,,,,,
Switch Event Name and Date columns in quad editors,MMP-548,20415,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,5/14/2015 18:01,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"In the new quad templates, Event Name comes before the date fields. This is a switch from the original form, so we need to update the form to match the desired quad product.",,,,,,,,,,,,,,,19/May/15 2:23 PM;DavidTuell;MMP-548.docx;https://jira.dev.simventions.com/secure/attachment/12520/MMP-548.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxey7:,9.22337E+18,,,MMP Sprint 15,,,,1,,,,,,,
Open development effort image in a modal,MMP-594,20780,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,MatthewSerbinski,MatthewSerbinski,6/4/2015 11:15,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"When viewing a development effort in InformedB Enterprise, a user could click on the image to open it in a lightbox modal. On the MMP site this does not work.

Look at Editor.js where the image click event handler is assigned, around line 1111. We could overwrite this in our DevelopmentEfforts_Show.js file accordingly.

Working example:
http://app2012.dev.simventions.com:8888/MRM/Details?type=ee7b696a-020f-4d37-bafb-c8bf58cd7276&id=54a75d32-79f1-4430-9ee4-1f2296d97f16

Not working example:
http://app2012.dev.simventions.com:8888/MMP/DevelopmentEfforts/Show?id=54a75d32-79f1-4430-9ee4-1f2296d97f16",,,,,,,,,,,,,,,25/Jun/15 2:29 PM;DavidTuell;MMP-594.docx;https://jira.dev.simventions.com/secure/attachment/12604/MMP-594.docx,,,#NAME?,,,,,,MMP-72,,,,MMP,,,,USMC,2|hzxk2f:,9.22337E+18,,,MMP Sprint 17,,,,3,,,24/Jun/15 2:11 PM;MatthewSerbinski;code committed to master branch,,,,
Double-clicking a node in roadmaps causes dragging to temporarily break.,MMP-527,20030,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,4/16/2015 19:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When double-clicking a node in a roadmap, then attempting to drag a node, the ""not allowed"" cursor appears and the node cannot be moved. Clicking in an empty cell restores normal behavior.",,,,,,,,,,,,,,,28/May/15 10:35 AM;DavidTuell;MMP-527.docx;https://jira.dev.simventions.com/secure/attachment/12539/MMP-527.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxezj:,9.22337E+18,,,MMP Sprint 15,,,,8,,,,,,,
Add Roadmap Legend to Editor Page,MMP-535,20318,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,4/30/2015 12:17,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,The roadmap legend should be accessible from the roadmap editor page. Recommend using a link or popover icon to display the legend on request.,,,,,,,,,,,,,,,26/May/15 10:16 AM;DavidTuell;MMP-535.docx;https://jira.dev.simventions.com/secure/attachment/12536/MMP-535.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxezb:,9.22337E+18,,,MMP Sprint 15,,,,2,,,,,,,
Remove Image Metadata from Editors,MMP-540,20391,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,5/13/2015 16:48,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"The customer has expressed the desire to remove the image metadata fields from the Image Editor (Title, Author, Description).

Dev note: Lowest risk implementation method is to hide them (but retain them in the DOM) once the editor is instantiated using hide() or display: none; CSS rules.",,,,,,,,,,,,,,,20/May/15 3:37 PM;DavidTuell;MMP-540.docx;https://jira.dev.simventions.com/secure/attachment/12525/MMP-540.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxeyf:,9.22337E+18,,,MMP Sprint 15,,,,2,,,,,,,
Required fields are not marked,MMP-543,20410,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,5/14/2015 17:08,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When entering a new development effort or Program of Record, the user is not aware that a field is required until they attempt to save and receive an error message.

Mark required fields with an asterisk with a small note at the top of the form.
Provide a note on creation modals in index pages that all fields are required.
Ensure taxonomy ""isRequired"" flag matches what we are validating/marking and use it programmatically.",,,,,,,,,,,,,,,19/May/15 2:06 PM;DavidTuell;MMP-543.docx;https://jira.dev.simventions.com/secure/attachment/12514/MMP-543.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxexz:,9.22337E+18,,,MMP Sprint 15,,,,5,,,"19/May/15 3:08 PM;DavidTuell;The note for ""required field"" needs to be inside the ""Quad Chart"" and ""Supplemental Information"" tabs for dev efforts and ""Program"" tab for PoRs. Right now it's still showing up in Funding and Schedule tabs.",,,,
Poor performance/hanging when switching between development effort tabs,MMP-537,20369,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,5/12/2015 10:12,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When switching between section tabs while working on a development effort, the transition between sections sometimes takes 2-3 seconds or longer. Initial testing has shown that the culprit is the refreshing of CLEditor instances required when they are ""re-shown"" from a hidden state.

Investigate the issue and attempt to optimize refreshing of CLEditor components.
(NOTE: This may be OBE if we migrate to Quill)",,,,,,,,,,,,,,,19/May/15 12:00 PM;DavidTuell;MMP-537.docx;https://jira.dev.simventions.com/secure/attachment/12512/MMP-537.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxexj:,9.22337E+18,,,MMP Sprint 15,,,,3,,,,,,,
Add template for SBIR Distribution Statement,MMP-522,20006,,New Feature,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,4/14/2015 10:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"The customer would like to optionally include the SBIR distribution statement below in quad chart products.

""DFARS-SBIR Data Rights (252.227-7018) Apply""

To implement this, utilize a third template option that mirrors the MMP quad, but includes this distribution statement.",,,,,,,,,,,,,,,,,,"- Third template entry added to slide generation modal that reads ""MMP Quad (SBIR)""
- Third template utilized that mirrors the MMP quad template, but includes the above distribution statement.",,,,,,,,,,MMP,,,,USMC,2|hzxevj:,9.22337E+18,,,MMP Sprint 14,,,,1,,,,,,,
Data missing from Financial Reporting export,MMP-538,20370,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,5/12/2015 10:17,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"During the IPR demo, some development effort records did not get included in the final export product. It occurred when selecting a subset of records from one PM and the entirety of another PM, as well as when filtering on a couple of funding types.

Attempt to reproduce and fix any issue that may be causing data to be missing from the ""grouped"" worksheet.

Test case:
PM filter: AFSS, AMMO, CSS
Type filter: RIF, SBIR,
Years: 2014-2019

Export selection:
All AFSS, All CSS, AMMO only first two",,,,,,,,,,,,,,,13/May/15 3:23 PM;DavidTuell;MMP-538.docx;https://jira.dev.simventions.com/secure/attachment/12483/MMP-538.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxeun:,9.22337E+18,,,MMP Sprint 14,,,,3,,,13/May/15 1:26 PM;MatthewSerbinski;bug fixed in branch MMP_529_financial_output,,,,
"""Logo"" field not present in MMP Quad Editor",MMP-533,20190,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,4/28/2015 14:17,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Although the ""Funding Source Logo"" image is part of the generated slide for the MMP Quad, it is not available for editing in the quad editor.",,,,,,,,,,,,,,,12/May/15 1:26 PM;DavidTuell;MMP-533.docx;https://jira.dev.simventions.com/secure/attachment/12473/MMP-533.docx,,,"- ""Funding Source Logo"" editor added to Development Efforts page in ""Quad Data"" under lower-right section.
- Logo updates properly when Quad Data section is saved.",,,,,,,,,,MMP,,,,USMC,2|hzxesn:,9.22337E+18,,,MMP Sprint 14,,,,5,,,,,,,
Bulleted and Numbered list items don't decrease Memo limit,MMP-532,20175,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,4/27/2015 12:04,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When entering rich text formatted as bulleted or numbered lists, the limit countdown does not decrease by the amount equivalent to a line for each list item. Instead, it only counts characters.

(Dev note: It appears the editor is only counting <div> elements, which CLEditor uses for paragraphs, for each line. It will need to count elements related to lists as well)",,,,,,,,,,,,,,,12/May/15 4:22 PM;MatthewDavis;MMP-532.docx;https://jira.dev.simventions.com/secure/attachment/12479/MMP-532.docx,,,"- Memo fields decrease by the correct calculated amount when a new list item is added to the value (For a test case, Description of Capability and Value to Warfighter limits should decrease by 50 for each newline).",,,,,,,,,,MMP,,,,USMC,2|hzxesf:,9.22337E+18,,,MMP Sprint 14,,,,3,,,,,,,
Fix Image Editor Always Reporting as Changed,MMP-531,20174,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,4/27/2015 11:59,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When you attempt to navigate away from or refresh the quad chart editor page, the browser always reports that there are unsaved changes. This is due to the image editor storing the old and new values in differing formats.",,,,,,,,,,,,,,,12/May/15 4:33 PM;MatthewDavis;MMP-531.docx;https://jira.dev.simventions.com/secure/attachment/12480/MMP-531.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxes7:,9.22337E+18,,,MMP Sprint 14,,,,3,,,27/Apr/15 12:00 PM;DavidTuell;There is also a discrepancy between retrieved and saved data on the back end that makes this issue impossible to fix correctly until resolved.,11/May/15 4:28 PM;DavidTuell;Fix for image saving bug should be committed by roadmap team.,,,
Red box appears when saving quad,MMP-524,20008,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,4/14/2015 11:11,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,An empty red alert box appears when you first click the Save button on the Quad Chart tab in the Development Efforts/Show page. Track down why it is appearing and remove it. Ensure the issue is not occurring on the Programs/Show page as well.,,,,,,,,,,,,,,,28/Apr/15 1:25 PM;MatthewSerbinski;MMP Code Review Checklist - MMP-524.docx;https://jira.dev.simventions.com/secure/attachment/12456/MMP+Code+Review+Checklist+-+MMP-524.docx,,,"- Red box no longer appears when first clicking ""Save"" in Development Efforts/Show and Programs/Show.",,,,,,,,,,MMP,,,,USMC,2|hzxeqn:,9.22337E+18,,,MMP Sprint 13,,,,3,,,28/Apr/15 1:02 PM;JosefKoza;This issue does not occur on the Programs/Show page because errors are handled differently there.  This problem only needs to be fixed for Development Efforts/Show.,,,,
Add Technology Exercise Fields to Supplemental Fields Section,MMP-523,20007,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,DavidTuell,DavidTuell,DavidTuell,4/14/2015 10:40,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,The fields for the Technology Experimentation quad need to be added to the supplemental fields section of the Development Efforts page.,,,,,,,,,,,,,,,28/Apr/15 7:35 AM;MatthewSerbinski;MMP Code Review Checklist - MMP-523.docx;https://jira.dev.simventions.com/secure/attachment/12452/MMP+Code+Review+Checklist+-+MMP-523.docx,,,"- All Technology Exercise fields added to the taxonomy are included and saved in the supplemental fields section (List TBD).
- All Technology Exercise (and other supplemental) fields display the field descriptor icon and popover.",,,,,,MMP-5,,,,MMP,,,,USMC,2|hzxepz:,9.22337E+18,,,MMP Sprint 13,,,,5,,,,,,,
"When dragging roadmap nodes, cells with multiple custom events reorder on their own",MMP-526,20029,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,4/16/2015 19:35,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When testing the multiple selection story (MMP-517), I noticed that whenever I dragged a node in a row, and there is another cell with multiple custom events in it, the custom nodes seem to reorder themselves. (e.g. JK1 and JK2 are in a cell and JK2 is on top, I start to drag another node somewhere else, JK1 suddenly is shown over top of JK2). Nodes seem to reorder themselves during a drag regardless of position or even if their cell isn't being touched.",,,,,,,,,,,,,,,21/Apr/15 10:15 AM;DavidTuell;MMP-526.docx;https://jira.dev.simventions.com/secure/attachment/12441/MMP-526.docx,,,"- Nodes stop ""reordering"" themselves when dragging in a row.",,,,,,,,,,MMP,,,,USMC,2|hzxep3:,9.22337E+18,,,MMP Sprint 13,,,,5,,,17/Apr/15 1:11 PM;JosefKoza;This issue appears to only occur when using Google Chrome.,17/Apr/15 2:33 PM;JosefKoza;BONUS: Selected and dragged nodes will now always show up on top.,,,
Selection of multiple roadmap nodes,MMP-517,19894,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,4/3/2015 14:33,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Currently, the selection feature for roadmap nodes does not work intuitively or consistently. In most cases, it will not select or drag the topmost visible node. Incorporating customer feedback on the situation, design and implement a better selection approach/rules (top always or some other mechanism).",,,,,,,,,,,,,,,16/Apr/15 10:28 AM;DavidTuell;MMP-517.docx;https://jira.dev.simventions.com/secure/attachment/12434/MMP-517.docx,,,#NAME?,,,,,,MMP-287,,,,MMP,,,,USMC,2|hzxemf:,9.22337E+18,,,MMP Sprint 12,,,,3,,,,,,,
Financial Reporting Filter Apply button changes,MMP-516,19893,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,4/3/2015 11:08,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"The Apply button for Financial Reporting filters should always be displayed regardless of scrolling position for the filters.

The Clear button will be OBE with the ability to select/deselect all options easily. Remove it.",,,,,,,,,,,,,,,13/Apr/15 4:57 PM;DavidTuell;MMP-516.docx;https://jira.dev.simventions.com/secure/attachment/12422/MMP-516.docx,,,#NAME?,,,,,,MMP-10,,,,MMP,,,,USMC,2|hzxekv:,9.22337E+18,,,MMP Sprint 12,,,,2,,,,,,,
Make size of sidebar filter more responsive,MMP-515,19892,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,4/3/2015 11:04,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,The size of the sidebar filter on the Financial Reports page is capped at 400 pixels. The section should scale with screen resolution.,,,,,,,,,,,,,,,08/Apr/15 12:23 PM;DavidTuell;MMP-515.docx;https://jira.dev.simventions.com/secure/attachment/12406/MMP-515.docx,,,#NAME?,,,,,,MMP-10,,,,MMP,,,,USMC,2|hzxekn:,9.22337E+18,,,MMP Sprint 12,,,,3,,,,,,,
Implement rollup queries by funding source,MMP-507,19727,17126,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,3/23/2015 8:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxfhr:,9.22337E+18,,,MMP Sprint 11,,,,,,,,,,,
Implement queries for dev efforts by funding and PM,MMP-508,19728,17126,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,3/23/2015 8:38,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxfhz:,9.22337E+18,,,MMP Sprint 11,,,,,,,,,,,
Add filter UI to sidebar,MMP-510,19730,17126,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,3/23/2015 8:40,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,,,28800,0,,0%,28800,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxfif:,9.22337E+18,,,MMP Sprint 11,,,,,,,,,,,
Fix funding display values to round,MMP-511,19813,17126,Sub-task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,MatthewSerbinski,MatthewSerbinski,3/30/2015 13:27,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,,,14400,0,,0%,14400,0,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzxfov:,9.22337E+18,,,MMP Sprint 11,,,,,,,,,,,
Highlight Table Column Headers on Hover,MMP-476,19676,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,3/17/2015 19:27,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"Per HSI Review 1:

""The user is initially unaware that they can click anywhere on the column header to sort in ascending/descending order. The impression is that the user must click on the triangle in order to sort. ""

""Add a highlight to the entire column header when the cursor hovers over it to let the user know they can click anywhere to sort. ""

Design best approach to indicate that clicking a column header performs sorting. The feedback mentions a highlight, but it's not a constraint.",,,,,,,,,,,,,,,23/Jun/15 4:56 PM;DavidTuell;MMP-476.docx;https://jira.dev.simventions.com/secure/attachment/12598/MMP-476.docx,,,#NAME?,,,,,,MMP-72,,,,MMP,,,,USMC,2|hzxf87:,9.22337E+18,,,MMP Sprint 17,,,,1,,,,,,,
Remove Redundant Panel Headers in Index Pages,MMP-479,19679,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,3/17/2015 19:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"The panel headers above index page tables have been cited as redundant with page headers in HSI Review 1. Remove them, and also consider pulling Actions menus on the panel to the left side.",,,,,,,,,,,,,,,23/Jun/15 4:55 PM;DavidTuell;MMP-479.docx;https://jira.dev.simventions.com/secure/attachment/12597/MMP-479.docx,,,#NAME?,,,,,,MMP-72,,,,MMP,,,,USMC,2|hzxf7z:,9.22337E+18,,,MMP Sprint 17,,,,1,,,,,,,
Add Descriptor to Record Counts in Home Page Panels,MMP-472,19672,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewSerbinski,DavidTuell,DavidTuell,3/17/2015 14:56,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Per HSI Review 1:

""The meaning of the number below each tile is unclear.""
""There is plenty of space to add a descriptor. Example: '226 Records' or '226 Programs'""",,,,,,,,,,,,,,,12/May/15 1:29 PM;DavidTuell;MMP-472.docx;https://jira.dev.simventions.com/secure/attachment/12474/MMP-472.docx,,,#NAME?,,,,,,MMP-71,,,,MMP,,,,USMC,2|hzxeu7:,9.22337E+18,,,MMP Sprint 14,,,,1,,,,,,,
Formatting Changes for MMP Quad Template,MMP-475,19675,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,MatthewDavis,DavidTuell,DavidTuell,3/17/2015 15:37,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"In the HSI Review, the customer had requested some formatting changes for the MMP quad chart template. Specifically:

The Description of Capability and Value to Warfighter headers need to stand out more.

Work with the customer to implement desired formatting.",,,,,,,,,,,,,,,14/Apr/15 2:21 PM;DavidTuell;MMP TEMPLATES.pptx;https://jira.dev.simventions.com/secure/attachment/12429/MMP+TEMPLATES.pptx,12/May/15 1:16 PM;DavidTuell;MMP-475.docx;https://jira.dev.simventions.com/secure/attachment/12472/MMP-475.docx,,#NAME?,,,,,,MMP-2,,,,MMP,,,,USMC,2|hzxer3:,9.22337E+18,,,MMP Sprint 14,,,,3,,,,,,,
Add Spinning Icon to Roadmap Row Dialogs,MMP-484,19686,,Improvement,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,2 - Minor,,JosefKoza,DavidTuell,DavidTuell,3/18/2015 9:24,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"During roadmap row add/delete, the HSI Reviewers were unable to notice the button text changing and cited that the UI does not indicate the system is busy. Add the spinning icon next to the disabled button so that it catches users' eyes easier.",,,,,,,,,,,,,,,30/Apr/15 5:57 PM;DavidTuell;MMP-484.docx;https://jira.dev.simventions.com/secure/attachment/12459/MMP-484.docx,,,#NAME?,,,,,,MMP-71,,,,MMP,,,,USMC,2|hzxeqv:,9.22337E+18,,,MMP Sprint 13,,,,2,,,28/Apr/15 2:11 PM;JosefKoza;Clarification: This feature should be added to all places applicable in addition to just the Roadmap Row Dialogs.,,,,
